AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery	Weight
CRISPR01M.01	0	109.41000000000001	109.41000000000001	8	8	2019/04/01	IP	33
CRISPR01M.02	0	530.21	530.21	8	8	2019/04/01	IP	29.5
CRISPR01M.03	0	36.349999999999994	36.349999999999994	6.9	6.9	2019/04/01	IP	29.3
CRISPR01M.04	0	405.14000000000004	405.14000000000004	8.5	8.5	2019/04/01	IP	32.2
CRISPR01M.05	0	0	45	8.8	8.8	2019/04/01	IP	33.1
CRISPR01M.06	0	22.98	22.98	8.6	8.6	2019/04/01	IP	27.9
CRISPR01M.07	0	0	45	7.7	7.7	2019/04/01	IP	32.2
CRISPR01M.08	0	521.21	521.21	10.1	10.1	2019/04/01	IP	31.8
CRISPR01M.09	0	135.39999999999998	135.39999999999998	9	9	2019/04/01	IP	31.6
CRISPR01M.10	0	503.53000000000003	503.53000000000003	9.2	9.2	2019/04/01	IP	30.3
CRISPR01M.11	0	130.9	130.9	7.4	7.4	2019/04/01	IP	26.5
CRISPR01M.12	0	2.72	2.72	9.2	9.2	2019/04/01	IP	30.3
CRISPR01M.13	0	634.4	634.4	8.1	8.1	2019/04/01	IP	31.5
CRISPR01M.14	0	44.080000000000005	44.080000000000005	7.5	7.5	2019/04/01	IP	27.6
CRISPR01M.15	0	267.71000000000004	267.71000000000004	8	8	2019/04/01	IP	32.3
CRISPR01M.16	0	0	45	7.3	7.3	2019/04/01	IP	31
CRISPR01M.17	0	790.68	790.68	8.9	8.9	2019/04/01	IP	32.1
CRISPR01M.18	0	0	45	7	7	2019/04/01	IP	32.2
CRISPR01M.19	0	156.84	156.84	8.5	8.5	2019/04/01	IP	30.4
CRISPR01M.20	0	557.54	557.54	7.2	7.2	2019/04/01	IP	31.8
CRISPR01M.21	0	134.29	134.29	8.1	8.1	2019/04/01	IP	33.1
CRISPR01M.22	0	447.98	447.98	8.3	8.3	2019/04/01	IP	31.6
CRISPR01M.23	0	0	45	7.3	7.3	2019/04/01	IP	30.2
CRISPR01M.24	0	0	45	7.6	7.6	2019/04/01	IP	32.1
CRISPR01M.25	0	232.07999999999998	232.07999999999998	8.4	8.4	2019/04/01	IP	33
CRISPR01M.26	0	291.29	291.29	7.4	7.4	2019/04/01	IP	32.5
CRISPR01M.27	0	502.40000000000003	502.40000000000003	7.2	7.2	2019/04/01	IP	32.5
CRISPR01M.28	0	801.61	801.61	8.3	8.3	2019/04/01	IP	30.1
CRISPR01M.29	0	3662.4900000000002	3662.4900000000002	5.9	5.9	2019/04/01	IP	30.3
CRISPR01M.30	0	1424.1399999999999	1424.1399999999999	9	9	2019/04/01	IP	31.3
CRISPR01M.01	30	167.77	167.77	17.2	17.2	2019/04/01	IP	33
CRISPR01M.02	30	1107.1299999999999	1107.1299999999999	12	12	2019/04/01	IP	29.5
CRISPR01M.03	30	25.45	25.45	15.5	15.5	2019/04/01	IP	29.3
CRISPR01M.04	30	512.5699999999999	512.5699999999999	11.4	11.4	2019/04/01	IP	32.2
CRISPR01M.05	30	0	45	19.4	19.4	2019/04/01	IP	33.1
CRISPR01M.06	30	28.849999999999998	28.849999999999998	11.8	11.8	2019/04/01	IP	27.9
CRISPR01M.07	30	0	45	16.3	16.3	2019/04/01	IP	32.2
CRISPR01M.08	30	368.53999999999996	368.53999999999996	9.5	9.5	2019/04/01	IP	31.8
CRISPR01M.09	30	103.53999999999999	103.53999999999999	16.8	16.8	2019/04/01	IP	31.6
CRISPR01M.10	30	679.1200000000001	679.1200000000001	12.4	12.4	2019/04/01	IP	30.3
CRISPR01M.11	30	189.85	189.85	13.7	13.7	2019/04/01	IP	26.5
CRISPR01M.12	30	0.4	0.4	15.7	15.7	2019/04/01	IP	30.3
