AnimalID	predBW	Group	SurgDate	CP	BG	Termination
CRISPR01M.01	35.8704434577564	"2.5e6 CAR-T: 5 days"	2019/03/27	167.77	17.2	2019/04/18
CRISPR01M.02	31.2486609530693	"2.5e6 CAR-T: 19 days"	2019/03/27	1107.13	12	2019/05/02
CRISPR01M.03	31.0006550132809	"2.5e6 CAR-T: 19 days"	2019/03/27	25.45	15.5	2019/05/02
CRISPR01M.04	33.9742391477225	"1e6 CAR-T: 5 days"	2019/03/27	512.57	11.4	2019/04/18
CRISPR01M.05	34.3539562558278	Control	2019/03/27	45	19.4	2019/05/02
CRISPR01M.06	29.7771720834184	"2.5e6 CAR-T: 19 days"	2019/03/27	28.85	11.8	2019/05/02
CRISPR01M.07	32.9441986935198	Control	2019/03/27	45	16.3	2019/05/02
CRISPR01M.08	32.8049236159606	"2.5e6 CAR-T: 19 days"	2019/03/27	368.54	9.5	2019/05/02
CRISPR01M.09	32.5541902450415	"1e6 CAR-T: 5 days"	2019/03/27	103.54	16.8	2019/04/18
CRISPR01M.10	31.9437782215714	"2.5e6 CAR-T: 5 days"	2019/03/27	679.12	12.4	2019/04/18
CRISPR01M.11	27.8423678894429	"1e6 CAR-T: 5 days"	2019/03/27	189.85	13.7	2019/04/18
CRISPR01M.12	31.5028509781982	"2.5e6 CAR-T: 5 days"	2019/03/27	0.4	15.7	2019/04/18
CRISPR01M.13	32.4408788153085	"2.5e6 CAR-T: 5 days"	2019/03/27	1471.38	17.9	2019/04/18
CRISPR01M.14	29.2262087019453	"0e6 CAR-T: 5 days"	2019/03/27	91.29	13	2019/04/18
CRISPR01M.15	34.4116207976277	"2.5e6 CAR-T: 5 days"	2019/03/28	352.47	11.7	2019/04/18
CRISPR01M.16	31.3027346324994	Control	2019/03/28	6.78	29.7	2019/05/02
CRISPR01M.17	32.703509089574	"1e6 CAR-T: 5 days"	2019/03/28	704.81	14	2019/04/18
CRISPR01M.18	33.484169929679	Control	2019/03/28	45	16.9	2019/05/02
CRISPR01M.19	31.0977927303259	"1e6 CAR-T: 5 days"	2019/03/28	137.66	20.6	2019/04/18
CRISPR01M.20	33.4360865589452	"0e6 CAR-T: 5 days"	2019/03/28	581.35	17.1	2019/04/18
CRISPR01M.21	33.4480588364764	"2.5e6 CAR-T: 19 days"	2019/03/28	80.14	22.1	2019/05/02
CRISPR01M.22	33.3180719169584	"1e6 CAR-T: 5 days"	2019/03/28	292.19	24.8	2019/04/18
CRISPR01M.23	30.4175319538357	Control	2019/03/28	45	16.3	2019/05/02
CRISPR01M.24	32.5355651996781	Control	2019/03/28	2.99	15.2	2019/05/02
CRISPR01M.25	33.9344019458389	"2.5e6 CAR-T: 5 days"	2019/03/28	360.19	13.2	2019/04/18
CRISPR01M.26	31.3782140308575	"2.5e6 CAR-T: 5 days"	2019/03/28	496.32	13.4	2019/04/18
CRISPR01M.27	31.9079598943633	"2.5e6 CAR-T: 19 days"	2019/03/28	784.18	14.5	2019/05/02
CRISPR01M.28	31.066304331073	"2.5e6 CAR-T: 19 days"	2019/03/28	912.04	17.6	2019/05/02
CRISPR01M.29	31.9671721303451	"0e6 CAR-T: 5 days"	2019/03/28	4141.69	10.8	2019/04/18
CRISPR01M.30	32.602121949859	"1e6 CAR-T: 5 days"	2019/03/28	1887.61	10.2	2019/04/18
