AnimalID	Date	percent_CD4posMycposCD45pos	percent_CD8posMycposCD45pos	percent_CD45pos	percent_Mycpos_hCD45pos
CRISPR01M.01	2019/04/05	66.7	33.3	0.19	53.8
CRISPR01M.02	2019/04/05	0	100	0.071	66.7
CRISPR01M.03	2019/04/05	0	0	0.071	33.3
CRISPR01M.04	2019/04/05	30	70	0.38	28.6
CRISPR01M.05	2019/04/05	0	100	0.047	100
CRISPR01M.06	2019/04/05	0	0	0.012	0
CRISPR01M.07	2019/04/05	0	75	0.12	44.4
CRISPR01M.08	2019/04/05	0	100	0.014	100
CRISPR01M.09	2019/04/05	44.4	50	0.89	19.4
CRISPR01M.10	2019/04/05	34.8	60.9	0.22	62.5
CRISPR01M.11	2019/04/05	0	88.9	0.66	11.1
CRISPR01M.12	2019/04/05	15.4	61.5	0.16	39.5
CRISPR01M.13	2019/04/05	42.1	42.1	0.27	29
CRISPR01M.14	2019/04/05	14.3	57.1	0.3	13.6
CRISPR01M.15	2019/04/05	37.5	50	0.19	25
CRISPR01M.16	2019/04/05	0	100	0.033	100
CRISPR01M.17	2019/04/05	40	60	0.18	40
CRISPR01M.18	2019/04/05	0	75	0.088	44.4
CRISPR01M.19	2019/04/05	50	37.5	0.17	34.5
CRISPR01M.20	2019/04/05	0	100	0.14	12.5
CRISPR01M.21	2019/04/05	0	0	0.061	0
CRISPR01M.22	2019/04/05	17.6	76.5	0.59	18
CRISPR01M.23	2019/04/05	0	50	0.05	66.7
CRISPR01M.24	2019/04/05	0	33.3	0.053	37.5
CRISPR01M.25	2019/04/05	0	75	0.13	33.3
CRISPR01M.26	2019/04/05	40	40	0.14	85.7
CRISPR01M.27	2019/04/05	0	100	0.015	100
CRISPR01M.28	2019/04/05	0	100	0.045	75
CRISPR01M.29	2019/04/05	0	0	0.15	11.1
CRISPR01M.30	2019/04/05	23.1	69.2	0.47	26.3
CRISPR01M.01	2019/04/15	55.9	42.6	21.1	64.9
CRISPR01M.02	2019/04/15	100	0	0.14	12.5
CRISPR01M.03	2019/04/15	0	0	0.074	0
CRISPR01M.04	2019/04/15	62.8	35.1	26.6	31.5
CRISPR01M.05	2019/04/15	100	0	0.14	11.1
CRISPR01M.06	2019/04/15	0	0	0.091	12.5
CRISPR01M.07	2019/04/15	0	0	0.11	16.7
