AnimalID	BW	BG	Date	State
CRISPR01M.01	28.4	6.2	2019/02/06	Fasted
CRISPR01M.02	25.1	7.8	2019/02/06	Fasted
CRISPR01M.03	24.2	8.7	2019/02/06	Fasted
CRISPR01M.04	26.5	8.2	2019/02/06	Fasted
CRISPR01M.05	26.8	8.8	2019/02/06	Fasted
CRISPR01M.06	22.9	7.8	2019/02/06	Fasted
CRISPR01M.07	26	8.4	2019/02/06	Fasted
CRISPR01M.08	26	7.9	2019/02/06	Fasted
CRISPR01M.09	25.4	9.3	2019/02/06	Fasted
CRISPR01M.10	25.2	8.5	2019/02/06	Fasted
CRISPR01M.11	21.2	9	2019/02/06	Fasted
CRISPR01M.12	24.3	8.8	2019/02/06	Fasted
CRISPR01M.13	25.5	9.9	2019/02/06	Fasted
CRISPR01M.14	23.1	9	2019/02/06	Fasted
CRISPR01M.15	28.2	7.3	2019/02/06	Fasted
CRISPR01M.16	24.4	9.1	2019/02/06	Fasted
CRISPR01M.17	26.3	8.6	2019/02/06	Fasted
CRISPR01M.18	27.7	5.7	2019/02/06	Fasted
CRISPR01M.19	24.8	9	2019/02/06	Fasted
CRISPR01M.20	26.9	8.3	2019/02/06	Fasted
CRISPR01M.21	27	6.7	2019/02/06	Fasted
CRISPR01M.22	26.6	9.3	2019/02/06	Fasted
CRISPR01M.23	24.2	8	2019/02/06	Fasted
CRISPR01M.24	25.6	7.3	2019/02/06	Fasted
CRISPR01M.25	27.8	8.3	2019/02/06	Fasted
CRISPR01M.26	26.1	11.7	2019/02/06	Fasted
CRISPR01M.27	27.1	9.5	2019/02/06	Fasted
CRISPR01M.28	24.8	9.3	2019/02/06	Fasted
CRISPR01M.29	26.7	8.9	2019/02/06	Fasted
CRISPR01M.30	26.6	6.9	2019/02/06	Fasted
CRISPR01M.01	30.3	7.5	2019/02/12	Fasted
CRISPR01M.02	26	8.4	2019/02/12	Fasted
CRISPR01M.03	25.9	6.4	2019/02/12	Fasted
CRISPR01M.04	28.4	7.7	2019/02/12	Fasted
CRISPR01M.05	28.5	8.2	2019/02/12	Fasted
CRISPR01M.06	24.6	6.9	2019/02/12	Fasted
CRISPR01M.07	27.7	7.8	2019/02/12	Fasted
CRISPR01M.08	27.6	7	2019/02/12	Fasted
CRISPR01M.09	26.8	7.3	2019/02/12	Fasted
CRISPR01M.10	26.2	8.7	2019/02/12	Fasted
CRISPR01M.11	22.8	7.7	2019/02/12	Fasted
CRISPR01M.12	25.9	8.3	2019/02/12	Fasted
CRISPR01M.13	26.9	8.5	2019/02/12	Fasted
CRISPR01M.14	24.5	7.7	2019/02/12	Fasted
CRISPR01M.15	28.9	8.8	2019/02/12	Fasted
CRISPR01M.16	25.6	7.6	2019/02/12	Fasted
CRISPR01M.17	27.1	9.5	2019/02/12	Fasted
CRISPR01M.18	28.2	9	2019/02/12	Fasted
CRISPR01M.19	26.1	9.9	2019/02/12	Fasted
CRISPR01M.20	28.6	8.5	2019/02/12	Fasted
CRISPR01M.21	27.7	9.8	2019/02/12	Fasted
CRISPR01M.22	27.2	9	2019/02/12	Fasted
CRISPR01M.23	25	8.8	2019/02/12	Fasted
CRISPR01M.24	26.9	8.4	2019/02/12	Fasted
CRISPR01M.25	28.2	9.5	2019/02/12	Fasted
CRISPR01M.26	28.1	8.8	2019/02/12	Fasted
CRISPR01M.27	28.6	7.7	2019/02/12	Fasted
CRISPR01M.28	26.1	9	2019/02/12	Fasted
CRISPR01M.29	27.7	8.1	2019/02/12	Fasted
CRISPR01M.30	27.7	8.9	2019/02/12	Fasted
CRISPR01M.01	33.1	9.3	2019/02/22	Fasted
CRISPR01M.02	27.5	8.5	2019/02/22	Fasted
CRISPR01M.03	28.2	8.5	2019/02/22	Fasted
CRISPR01M.04	31.2	10.7	2019/02/22	Fasted
CRISPR01M.05	31.1	9.4	2019/02/22	Fasted
CRISPR01M.06	26.7	10	2019/02/22	Fasted
CRISPR01M.07	29.2	8.1	2019/02/22	Fasted
CRISPR01M.08	29.1	9.4	2019/02/22	Fasted
CRISPR01M.09	29.2	9.3	2019/02/22	Fasted
CRISPR01M.10	28.5	11.5	2019/02/22	Fasted
CRISPR01M.11	25.3	10.3	2019/02/22	Fasted
CRISPR01M.12	28.9	10.4	2019/02/22	Fasted
CRISPR01M.13	29.3	10.2	2019/02/22	Fasted
CRISPR01M.14	26.6	9	2019/02/22	Fasted
CRISPR01M.15	30.5	9.1	2019/02/22	Fasted
CRISPR01M.16	27.9	10.4	2019/02/22	Fasted
CRISPR01M.17	28.8	7.8	2019/02/22	Fasted
CRISPR01M.18	30	8.3	2019/02/22	Fasted
CRISPR01M.19	27.8	9.5	2019/02/22	Fasted
CRISPR01M.20	30	9.9	2019/02/22	Fasted
CRISPR01M.21	30	9	2019/02/22	Fasted
CRISPR01M.22	29.3	9.2	2019/02/22	Fasted
CRISPR01M.23	26.6	8.3	2019/02/22	Fasted
CRISPR01M.24	29	9	2019/02/22	Fasted
CRISPR01M.25	29.9	9	2019/02/22	Fasted
CRISPR01M.26	28.6	8.1	2019/02/22	Fasted
CRISPR01M.27	30.1	8.3	2019/02/22	Fasted
CRISPR01M.28	27.8	7.3	2019/02/22	Fasted
CRISPR01M.29	28.6	8	2019/02/22	Fasted
CRISPR01M.30	29.1	8.3	2019/02/22	Fasted
CRISPR01M.01	32.6	9.5	2019/03/01	Fasted
CRISPR01M.02	28.1	7	2019/03/01	Fasted
CRISPR01M.03	28.2	8.6	2019/03/01	Fasted
CRISPR01M.04	31.1	7.8	2019/03/01	Fasted
CRISPR01M.05	31.4	8.3	2019/03/01	Fasted
CRISPR01M.06	26.7	7.8	2019/03/01	Fasted
CRISPR01M.07	29.6	7.3	2019/03/01	Fasted
CRISPR01M.08	29.6	7.6	2019/03/01	Fasted
CRISPR01M.09	29.5	8.4	2019/03/01	Fasted
CRISPR01M.10	28.9	8.7	2019/03/01	Fasted
CRISPR01M.11	24.7	8.2	2019/03/01	Fasted
CRISPR01M.12	28.5	8.4	2019/03/01	Fasted
CRISPR01M.13	29.4	8.8	2019/03/01	Fasted
CRISPR01M.14	26.7	7.5	2019/03/01	Fasted
CRISPR01M.15	31.5	7	2019/03/01	Fasted
CRISPR01M.16	28.2	7.8	2019/03/01	Fasted
CRISPR01M.17	29.5	7.8	2019/03/01	Fasted
CRISPR01M.18	30.3	8.4	2019/03/01	Fasted
CRISPR01M.19	28	7.8	2019/03/01	Fasted
CRISPR01M.20	30.1	9.4	2019/03/01	Fasted
CRISPR01M.21	30.3	8.1	2019/03/01	Fasted
CRISPR01M.22	30.5	8.3	2019/03/01	Fasted
CRISPR01M.23	27.7	8.5	2019/03/01	Fasted
CRISPR01M.24	29.4	6.8	2019/03/01	Fasted
CRISPR01M.25	30.5	8	2019/03/01	Fasted
CRISPR01M.26	30.4	7.2	2019/03/01	Fasted
CRISPR01M.27	30	7.4	2019/03/01	Fasted
CRISPR01M.28	28	7.5	2019/03/01	Fasted
CRISPR01M.29	29.1	7.9	2019/03/01	Fasted
CRISPR01M.30	29.5	7.9	2019/03/01	Fasted
CRISPR01M.01	33.9	8.5	2019/03/13	Fasted
CRISPR01M.02	29.9	6.5	2019/03/13	Fasted
CRISPR01M.03	29.1	7.6	2019/03/13	Fasted
CRISPR01M.04	32.3	9	2019/03/13	Fasted
CRISPR01M.05	32.8	7.5	2019/03/13	Fasted
CRISPR01M.06	27.8	7.4	2019/03/13	Fasted
CRISPR01M.07	30.9	8.9	2019/03/13	Fasted
CRISPR01M.08	31.2	7.7	2019/03/13	Fasted
CRISPR01M.09	31.1	10.7	2019/03/13	Fasted
CRISPR01M.10	30.4	9	2019/03/13	Fasted
CRISPR01M.11	25.6	9	2019/03/13	Fasted
