AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery	Weight
CRISPR02M.01	0	457.435	457.435	6.2	6.2	2019/08/20	IP	28.6
CRISPR02M.02	0	398.605	398.605	7.4	7.4	2019/08/20	IP	27.4
CRISPR02M.03	0	612.85	612.85	8.1	8.1	2019/08/20	IP	27.9
CRISPR02M.04	0	485.565	485.565	7.5	7.5	2019/08/20	IP	27.9
CRISPR02M.05	0	1433.785	1433.785	7.6	7.6	2019/08/20	IP	29.1
CRISPR02M.06	0	1658.515	1658.515	7	7	2019/08/20	IP	28.7
CRISPR02M.07	0	1140.73	1140.73	8.2	8.2	2019/08/20	IP	27.5
CRISPR02M.08	0	1386.385	1386.385	9.6	9.6	2019/08/20	IP	28.4
CRISPR02M.09	0	920.8	920.8	6.6	6.6	2019/08/20	IP	31.1
CRISPR02M.10	0	830.445	830.445	9.3	9.3	2019/08/20	IP	29.7
CRISPR02M.11	0	1460.6	1460.6	7.1	7.1	2019/08/20	IP	27.8
CRISPR02M.12	0	905.26	905.26	8.1	8.1	2019/08/20	IP	30.9
CRISPR02M.13	0	1061.325	1061.325	9.4	9.4	2019/08/20	IP	26.7
CRISPR02M.14	0	1749.57	1749.57	8.8	8.8	2019/08/20	IP	28.4
CRISPR02M.15	0	1230.715	1230.715	8.5	8.5	2019/08/20	IP	28.2
CRISPR02M.01	15	495.765	495.765	25.6	25.6	2019/08/20	IP	28.6
CRISPR02M.02	15	552.235	552.235	23.9	23.9	2019/08/20	IP	27.4
CRISPR02M.03	15	506.93	506.93	24.9	24.9	2019/08/20	IP	27.9
CRISPR02M.04	15	471.375	471.375	21.5	21.5	2019/08/20	IP	27.9
CRISPR02M.05	15	1656.85	1656.85	17.5	17.5	2019/08/20	IP	29.1
CRISPR02M.06	15	1931.845	1931.845	23.8	23.8	2019/08/20	IP	28.7
CRISPR02M.07	15	1215.64	1215.64	24.8	24.8	2019/08/20	IP	27.5
CRISPR02M.08	15	1392.43	1392.43	31.2	31.2	2019/08/20	IP	28.4
CRISPR02M.09	15	1011.63	1011.63	23.8	23.8	2019/08/20	IP	31.1
CRISPR02M.10	15	778.81	778.81	22.7	22.7	2019/08/20	IP	29.7
CRISPR02M.11	15	1649.6	1649.6	24.5	24.5	2019/08/20	IP	27.8
CRISPR02M.12	15	897.835	897.835	26.7	26.7	2019/08/20	IP	30.9
CRISPR02M.13	15	1642.81	1642.81	20.2	20.2	2019/08/20	IP	26.7
CRISPR02M.14	15	1771.215	1771.215	21.3	21.3	2019/08/20	IP	28.4
CRISPR02M.15	15	1792.435	1792.435	19.9	19.9	2019/08/20	IP	28.2
CRISPR02M.01	60	642.67	642.67	10.4	10.4	2019/08/20	IP	28.6
CRISPR02M.02	60	665.8	665.8	9.7	9.7	2019/08/20	IP	27.4
CRISPR02M.03	60	821.705	821.705	11.9	11.9	2019/08/20	IP	27.9
CRISPR02M.04	60	741.815	741.815	12.1	12.1	2019/08/20	IP	27.9
CRISPR02M.05	60	1814.14	1814.14	10.8	10.8	2019/08/20	IP	29.1
CRISPR02M.06	60	2905.17	2905.17	15.7	15.7	2019/08/20	IP	28.7
CRISPR02M.07	60	1184.06	1184.06	10	10	2019/08/20	IP	27.5
CRISPR02M.08	60	2314.645	2314.645	10	10	2019/08/20	IP	28.4
CRISPR02M.09	60	1363.955	1363.955	11.4	11.4	2019/08/20	IP	31.1
CRISPR02M.10	60	945.55	945.55	12.4	12.4	2019/08/20	IP	29.7
CRISPR02M.11	60	3168.49	3168.49	8.5	8.5	2019/08/20	IP	27.8
CRISPR02M.12	60	1648.6	1648.6	20.9	20.9	2019/08/20	IP	30.9
CRISPR02M.13	60	2211.02	2211.02	10.4	10.4	2019/08/20	IP	26.7
CRISPR02M.14	60	2617.775	2617.775	11	11	2019/08/20	IP	28.4
CRISPR02M.15	60	2318.73	2318.73	10.2	10.2	2019/08/20	IP	28.2
CRISPR02M.21	0	555.125	555.125	8.1	8.1	2019/08/21	IP	32.2
CRISPR02M.22	0	2506.4	2506.4	5.8	5.8	2019/08/21	IP	29.6
CRISPR02M.23	0	75.285	75.285	7.3	7.3	2019/08/21	IP	27.2
CRISPR02M.24	0	1830.985	1830.985	6.9	6.9	2019/08/21	IP	28.6
CRISPR02M.25	0	2138.975	2138.975	6.5	6.5	2019/08/21	IP	29.4
CRISPR02M.26	0	1813.54	1813.54	7.8	7.8	2019/08/21	IP	28.3
CRISPR02M.27	0	1116.715	1116.715	7.4	7.4	2019/08/21	IP	29.8
CRISPR02M.28	0	1812.795	1812.795	6.3	6.3	2019/08/21	IP	23.5
CRISPR02M.29	0	3518.235	3518.235	6.8	6.8	2019/08/21	IP	30
CRISPR02M.30	0	2067.915	2067.915	7.9	7.9	2019/08/21	IP	29.1
CRISPR02M.31	0	1616.84	1616.84	7.3	7.3	2019/08/21	IP	29.7
CRISPR02M.32	0	1611.71	1611.71	8.2	8.2	2019/08/21	IP	31.6
CRISPR02M.33	0	1484.685	1484.685	8.2	8.2	2019/08/21	IP	30.7
CRISPR02M.34	0	2599.745	2599.745	7	7	2019/08/21	IP	32
CRISPR02M.35	0	1435.35	1435.35	9.7	9.7	2019/08/21	IP	29.1
CRISPR02M.21	15	521.455	521.455	28.9	28.9	2019/08/21	IP	32.2
CRISPR02M.22	15	3031.255	3031.255	20.5	20.5	2019/08/21	IP	29.6
CRISPR02M.23	15	77.925	77.925	25.6	25.6	2019/08/21	IP	27.2
CRISPR02M.24	15	2001.4	2001.4	19.9	19.9	2019/08/21	IP	28.6
CRISPR02M.25	15	1868.07	1868.07	29.4	29.4	2019/08/21	IP	29.4
CRISPR02M.26	15	2240.845	2240.845	24.5	24.5	2019/08/21	IP	28.3
CRISPR02M.27	15	1099.74	1099.74	24.5	24.5	2019/08/21	IP	29.8
CRISPR02M.28	15	1346.405	1346.405	22.8	22.8	2019/08/21	IP	23.5
CRISPR02M.29	15	2963.04	2963.04	16.1	16.1	2019/08/21	IP	30
CRISPR02M.30	15	2525.36	2525.36	30.1	30.1	2019/08/21	IP	29.1
CRISPR02M.31	15	1559.41	1559.41	22.2	22.2	2019/08/21	IP	29.7
CRISPR02M.32	15	1730.87	1730.87	33.3	147	2019/08/21	IP	31.6
CRISPR02M.33	15	1718.04	1718.04	33	33	2019/08/21	IP	30.7
CRISPR02M.34	15	2422.165	2422.165	26.9	26.9	2019/08/21	IP	32
CRISPR02M.35	15	1892.615	1892.615	19.6	19.6	2019/08/21	IP	29.1
CRISPR02M.21	60	915.62	915.62	14.3	14.3	2019/08/21	IP	32.2
CRISPR02M.22	60	4881.605	4881.605	7.5	7.5	2019/08/21	IP	29.6
CRISPR02M.23	60	115.865	115.865	14	14	2019/08/21	IP	27.2
CRISPR02M.24	60	4071.38	4071.38	9.6	9.6	2019/08/21	IP	28.6
CRISPR02M.25	60	3614.145	3614.145	10.8	10.8	2019/08/21	IP	29.4
CRISPR02M.26	60	3327.185	3327.185	8.4	8.4	2019/08/21	IP	28.3
CRISPR02M.27	60	1672.6	1672.6	11.2	11.2	2019/08/21	IP	29.8
CRISPR02M.28	60	3067.625	3067.625	9.3	9.3	2019/08/21	IP	23.5
CRISPR02M.29	60	2293.725	2293.725	9.1	9.1	2019/08/21	IP	30
CRISPR02M.30	60	2724.65	2724.65	12	12	2019/08/21	IP	29.1
CRISPR02M.31	60	2581.475	2581.475	11.8	11.8	2019/08/21	IP	29.7
CRISPR02M.32	60	7313.785	7313.785	12.5	12.5	2019/08/21	IP	31.6
CRISPR02M.33	60	2540.72	2540.72	20.4	20.4	2019/08/21	IP	30.7
CRISPR02M.34	60	4747.555	4747.555	9.3	9.3	2019/08/21	IP	32
CRISPR02M.35	60	3779.29	3779.29	10.5	10.5	2019/08/21	IP	29.1
CRISPR02M.01	0	1135.035	1135.035	9.3	9.3	2019/09/04	IP	29.7
CRISPR02M.02	0	262.75	262.75	7.8	7.8	2019/09/04	IP	28.1
CRISPR02M.03	0	244.44	244.44	8.5	8.5	2019/09/04	IP	28.2
CRISPR02M.04	0	359.29	359.29	8.8	8.8	2019/09/04	IP	28.9
CRISPR02M.05	0	1605.6	1605.6	8.4	8.4	2019/09/04	IP	29.7
CRISPR02M.06	0	1919.695	1919.695	7	7	2019/09/04	IP	29.8
CRISPR02M.07	0	2094.845	2094.845	8.9	8.9	2019/09/04	IP	28.4
CRISPR02M.08	0	3792.88	3792.88	7.7	7.7	2019/09/04	IP	29.8
CRISPR02M.09	0	1218.965	1218.965	9.2	9.2	2019/09/04	IP	31
CRISPR02M.10	0	488.515	488.515	8.3	8.3	2019/09/04	IP	30.6
CRISPR02M.11	0	1042.875	1042.875	7.5	7.5	2019/09/04	IP	28.5
CRISPR02M.12	0	460.56	460.56	8.9	8.9	2019/09/04	IP	32.6
CRISPR02M.13	0	905.06	905.06	7.4	7.4	2019/09/04	IP	27.7
CRISPR02M.14	0	891.785	891.785	9.4	9.4	2019/09/04	IP	29.8
CRISPR02M.15	0	1352.585	1352.585	9.9	9.9	2019/09/04	IP	29.4
CRISPR02M.01	15	896.71	896.71	25.4	25.4	2019/09/04	IP	29.7
CRISPR02M.02	15	219.69	219.69	20.3	20.3	2019/09/04	IP	28.1
CRISPR02M.03	15	314.205	314.205	20.4	20.4	2019/09/04	IP	28.2
CRISPR02M.04	15	98.105	98.105	28.7	28.7	2019/09/04	IP	28.9
CRISPR02M.05	15	903.44	903.44	23.6	23.6	2019/09/04	IP	29.7
CRISPR02M.06	15	1024.995	1024.995	26.1	26.1	2019/09/04	IP	29.8
CRISPR02M.07	15	1483.565	1483.565	24.5	24.5	2019/09/04	IP	28.4
CRISPR02M.08	15	2239.92	2239.92	26.5	26.5	2019/09/04	IP	29.8
CRISPR02M.09	15	1231.925	1231.925	30.2	30.2	2019/09/04	IP	31
CRISPR02M.10	15	280.575	280.575	32.6	32.6	2019/09/04	IP	30.6
CRISPR02M.11	15	809.69	809.69	28.8	28.8	2019/09/04	IP	28.5
CRISPR02M.12	15	170.345	170.345	27.9	27.9	2019/09/04	IP	32.6
CRISPR02M.13	15	1858.85	1858.85	23.8	23.8	2019/09/04	IP	27.7
CRISPR02M.14	15	975.945	975.945	19.8	19.8	2019/09/04	IP	29.8
CRISPR02M.15	15	1312.665	1312.665	28.5	28.5	2019/09/04	IP	29.4
CRISPR02M.01	60	1355.12	1355.12	13.8	13.8	2019/09/04	IP	29.7
CRISPR02M.02	60	257.125	257.125	10.8	10.8	2019/09/04	IP	28.1
CRISPR02M.03	60	365.32	365.32	11.7	11.7	2019/09/04	IP	28.2
CRISPR02M.04	60	206.33	206.33	14.3	14.3	2019/09/04	IP	28.9
CRISPR02M.05	60	1291.88	1291.88	11.9	11.9	2019/09/04	IP	29.7
CRISPR02M.06	60	1535.375	1535.375	12.9	12.9	2019/09/04	IP	29.8
CRISPR02M.07	60	394.515	394.515	11.2	11.2	2019/09/04	IP	28.4
CRISPR02M.08	60	2397.985	2397.985	9.2	9.2	2019/09/04	IP	29.8
CRISPR02M.09	60	1286.87	1286.87	11	11	2019/09/04	IP	31
CRISPR02M.10	60	272.68	272.68	12	12	2019/09/04	IP	30.6
CRISPR02M.11	60	1049.74	1049.74	10.8	10.8	2019/09/04	IP	28.5
CRISPR02M.12	60	558.335	558.335	12.3	12.3	2019/09/04	IP	32.6
CRISPR02M.13	60	1582.77	1582.77	8	8	2019/09/04	IP	27.7
