AnimalID	Date	percent_CD45pos	percent_CD4posCD45pos	percent_CD8posCD45pos	percent_Mycpos_hCD45pos	percent_CD4posMycposCD45pos	percent_CD8posMycposCD45pos	percent_CD4pos_of_CD45posMycpos	percent_CD8pos_of_CD45posMycpos
CRISPR02M.01	2019/09/13	0.012	0	100	100	0	100	0	100
CRISPR02M.02	2019/09/13	1.7	72.9	23.5	14.1	6.45	35	33.3	66.7
CRISPR02M.03	2019/09/13	0.045	0	100	33.3	0	33.3	0	100
CRISPR02M.04	2019/09/13	0.29	63.3	30	36.7	5.26	88.9	9.09	90.9
CRISPR02M.05	2019/09/13	29.7	33.9	59.7	3.47	4.3	2.75	42.1	47.4
CRISPR02M.06	2019/09/13	12.2	16.2	78.4	1.33	6.36	0.19	77.8	22.2
CRISPR02M.07	2019/09/13	0	0	0	0	0	0	0	0
CRISPR02M.08	2019/09/13	0	0	0	0	0	0	0	0
CRISPR02M.09	2019/09/13	0.1	16.7	50	50	100	66.7	33.3	66.7
CRISPR02M.10	2019/09/13	18.6	24.3	70.7	0.71	0	1.01	0	100
CRISPR02M.11	2019/09/13	31.2	28.8	63.8	2.82	5.34	1.42	59.8	40.2
CRISPR02M.12	2019/09/13	39.1	22.2	53.4	1.95	1.99	2.32	22.7	72.7
CRISPR02M.13	2019/09/13	0.084	14.3	14.3	28.6	0	100	0	100
CRISPR02M.14	2019/09/13	0.043	33.3	33.3	33.3	100	0	100	0
CRISPR02M.15	2019/09/13	0.055	16.7	16.7	16.7	0	0	0	100
CRISPR02M.21	2019/09/13	0	0	0	0	0	0	0	0
CRISPR02M.22	2019/09/13	0.013	100	0	0	0	0	0	0
CRISPR02M.23	2019/09/13	0.096	0	25	12.5	0	0	0	100
CRISPR02M.24	2019/09/13	0.016	0	100	0	0	0	0	0
CRISPR02M.25	2019/09/13	0.055	0	20	20	0	0	0	100
CRISPR02M.26	2019/09/13	0.01	0	100	100	0	100	0	100
CRISPR02M.27	2019/09/13	0	0	0	0	0	0	0	0
CRISPR02M.28	2019/09/13	0.01	0	0	0	0	0	0	0
CRISPR02M.29	2019/09/13	0	0	0	0	0	0	0	0
CRISPR02M.30	2019/09/13	49.3	34.5	59.2	0.66	0.93	0.49	50	50
CRISPR02M.31	2019/09/13	0.024	0	50	50	0	0	0	100
CRISPR02M.32	2019/09/13	0.067	20	60	20	0	33.3	0	100
CRISPR02M.33	2019/09/13	0	0	0	0	0	0	0	0
CRISPR02M.34	2019/09/13	0	0	0	0	0	0	0	0
CRISPR02M.35	2019/09/13	0.022	0	100	0	0	0	0	0
CRISPR02M.01	2019/09/20	0.26	0	87.5	12.5	0	14.3	0	100
CRISPR02M.02	2019/09/20	9.31	48.8	43	17.4	16.9	18.3	47.6	47.6
CRISPR02M.03	2019/09/20	59	12.1	83.8	1.73	5.19	1.08	39.2	58
CRISPR02M.04	2019/09/20	1.05	41.7	58.3	66.7	50	78.6	31.2	68.8
CRISPR02M.05	2019/09/20	36.7	24.2	71.2	1.96	4.43	1	59.1	36.4
CRISPR02M.06	2019/09/20	51.6	14	81.1	3.44	5.41	3.05	23.2	76.8
CRISPR02M.07	2019/09/20	0.015	0	100	100	0	100	0	100
CRISPR02M.08	2019/09/20	0.06	33.3	33.3	66.7	0	100	0	100
CRISPR02M.09	2019/09/20	0	0	0	0	0	0	0	0
CRISPR02M.10	2019/09/20	0.23	90	10	70	66.7	100	85.7	14.3
CRISPR02M.11	2019/09/20	0	0	0	0	0	0	0	0
CRISPR02M.12	2019/09/20	40.4	13.4	81.7	8.42	13.5	7.58	22.8	76.4
CRISPR02M.13	2019/09/20	0.024	0	100	50	0	50	0	100
CRISPR02M.14	2019/09/20	9.09	0	66.7	33.3	0	50	0	100
CRISPR02M.15	2019/09/20	6.9	0	75	0	0	0	0	0
CRISPR02M.21	2019/09/20	5.97	0	50	0	0	0	0	0
CRISPR02M.22	2019/09/20	6.02	0	60	20	0	0	0	0
CRISPR02M.23	2019/09/20	2.5	15.3	82.2	13.9	22.6	12.7	25	75
CRISPR02M.24	2019/09/20	0.063	0	100	100	0	100	0	100
CRISPR02M.25	2019/09/20	0.16	0	83.3	50	0	40	0	66.7
CRISPR02M.26	2019/09/20	0.44	29.2	66.7	20.8	0	31.2	0	100
CRISPR02M.27	2019/09/20	0.34	0	100	0	0	0	0	0
CRISPR02M.28	2019/09/20	0.22	12.5	50	12.5	0	0	0	100
CRISPR02M.29	2019/09/20	0.65	78	22	14.6	0	66.7	0	100
CRISPR02M.30	2019/09/20	59.9	15	70.2	0.95	1.26	0.87	23.5	69.4
CRISPR02M.31	2019/09/20	0.051	0	100	0	0	0	0	0
CRISPR02M.32	2019/09/20	0.22	54.5	45.5	36.4	16.7	60	25	75
CRISPR02M.33	2019/09/20	0.074	0	75	50	0	33.3	0	100
CRISPR02M.34	2019/09/20	0.061	0	75	0	0	0	0	0
CRISPR02M.35	2019/09/20	0.087	0	66.7	66.7	0	50	0	50
CRISPR02M.01	2019/09/26	0.094	0	100	100	0	100	0	100
CRISPR02M.02	2019/09/26	18.9	42.4	55.7	9.54	12.5	5.93	63.1	33.1
CRISPR02M.03	2019/09/26	0.59	55.3	42.6	21.3	0	40	10	80
CRISPR02M.04	2019/09/26	2.08	41.7	54.8	27.1	20.5	33	31.5	63
CRISPR02M.07	2019/09/26	0.051	66.7	33.3	100	100	100	66.7	33.3
CRISPR02M.08	2019/09/26	0.066	0	100	100	0	100	0	100
CRISPR02M.09	2019/09/26	0.37	53.3	43.3	23.3	37.5	7.69	85.7	0
CRISPR02M.13	2019/09/26	0	0	0	0	0	0	0	0
CRISPR02M.14	2019/09/26	0.11	0	83.3	83.3	0	80	0	80
CRISPR02M.15	2019/09/26	0.22	0	100	91.7	0	91.7	0	81.8
CRISPR02M.21	2019/09/26	0	0	0	0	0	0	0	0
CRISPR02M.22	2019/09/26	1.16	64.4	32.9	42.5	21.3	79.2	38.7	61.3
CRISPR02M.23	2019/09/26	0	0	0	0	0	0	0	0
CRISPR02M.24	2019/09/26	0	0	0	0	0	0	0	0
CRISPR02M.25	2019/09/26	0.021	0	100	100	0	100	0	100
CRISPR02M.26	2019/09/26	5.08	46.3	51.4	17.6	22	11.7	63.2	23.7
CRISPR02M.27	2019/09/26	0.04	0	0	100	0	0	0	100
CRISPR02M.28	2019/09/26	0.28	50	37.5	75	100	33.3	66.7	33.3
CRISPR02M.29	2019/09/26	0.37	37.5	37.5	62.5	33.3	66.7	20	60
CRISPR02M.31	2019/09/26	0.018	0	100	100	0	100	0	100
CRISPR02M.32	2019/09/26	1.99	17.2	72.4	34.5	20	38.1	10	70
CRISPR02M.33	2019/09/26	0	0	0	0	0	0	0	0
CRISPR02M.34	2019/09/26	1.08	0	50	100	0	100	0	100
CRISPR02M.35	2019/09/26	0.03	0	100	100	0	100	0	100
CRISPR02M.01	2019/10/04	0.092	0	60	80	0	66.7	0	75
CRISPR02M.02	2019/10/04	19.4	43.9	52.6	0.86	3.6	1.37	40.5	51.4
CRISPR02M.03	2019/10/04	1.02	54.5	45.5	36.4	0	80	0	100
CRISPR02M.04	2019/10/04	12.7	43.5	51.7	1.27	5.11	6.13	0	100
CRISPR02M.07	2019/10/04	0.27	20	80	100	100	100	20	80
CRISPR02M.08	2019/10/04	0.18	0	100	83.3	0	100	0	100
CRISPR02M.09	2019/10/04	2.63	21.6	75	6.76	28.1	1.8	80	20
CRISPR02M.13	2019/10/04	0.031	0	50	100	0	100	0	100
