AnimalID	Date	CP.Start	CP.End
CRISPR02M.01	2019/09/13	546.61	546.61
CRISPR02M.02	2019/09/13	53.835	53.835
CRISPR02M.03	2019/09/13	77.835	77.835
CRISPR02M.04	2019/09/13	66.895	66.895
CRISPR02M.05	2019/09/13	185.44	185.44
CRISPR02M.06	2019/09/13	180.975	180.975
CRISPR02M.07	2019/09/13	1855.105	1855.105
CRISPR02M.08	2019/09/13	1167.255	1167.255
CRISPR02M.09	2019/09/13	706.455	706.455
CRISPR02M.10	2019/09/13	75.03	75.03
CRISPR02M.11	2019/09/13	247.545	247.545
CRISPR02M.12	2019/09/13	112.945	112.945
CRISPR02M.13	2019/09/13	4114.95	4114.95
CRISPR02M.14	2019/09/13	456.96	456.96
CRISPR02M.15	2019/09/13	789.02	789.02
CRISPR02M.21	2019/09/13	828.13	828.13
CRISPR02M.22	2019/09/13	1278.315	1278.315
CRISPR02M.23	2019/09/13	149.69	149.69
CRISPR02M.24	2019/09/13	2763.53	2763.53
CRISPR02M.25	2019/09/13	2040.35	2040.35
CRISPR02M.26	2019/09/13	5538.48	5538.48
CRISPR02M.27	2019/09/13	1320.995	1320.995
CRISPR02M.28	2019/09/13	2599.9	2599.9
CRISPR02M.29	2019/09/13	2934.62	2934.62
CRISPR02M.30	2019/09/13	609.32	609.32
CRISPR02M.31	2019/09/13	1413.17	1413.17
CRISPR02M.32	2019/09/13	1336.865	1336.865
CRISPR02M.33	2019/09/13	716.76	716.76
CRISPR02M.34	2019/09/13	5006.46	5006.46
CRISPR02M.35	2019/09/13	2676.085	2676.085
CRISPR02M.01	2019/09/26	1695.345	1695.345
CRISPR02M.02	2019/09/26	0	22.5
CRISPR02M.03	2019/09/26	0	22.5
CRISPR02M.04	2019/09/26	0	22.5
CRISPR02M.07	2019/09/26	912.31	912.31
CRISPR02M.08	2019/09/26	1587.52	1587.52
CRISPR02M.09	2019/09/26	264.97	264.97
CRISPR02M.13	2019/09/26	898.47	898.47
CRISPR02M.14	2019/09/26	334.665	334.665
CRISPR02M.15	2019/09/26	230.42	230.42
CRISPR02M.21	2019/09/26	230.915	230.915
CRISPR02M.22	2019/09/26	838.795	838.795
CRISPR02M.23	2019/09/26	157.745	157.745
CRISPR02M.24	2019/09/26	3728.18	3728.18
CRISPR02M.25	2019/09/26	4151.315	4151.315
CRISPR02M.26	2019/09/26	2302.525	2302.525
CRISPR02M.27	2019/09/26	367.66	367.66
CRISPR02M.28	2019/09/26	992.375	992.375
CRISPR02M.29	2019/09/26	2323.165	2323.165
