AnimalID	BW	BG	GvHD	Date	State
CRISPR02M.01	28	7.6	0	2019/07/25	Random
CRISPR02M.02	26.2	7.6	0	2019/07/25	Random
CRISPR02M.03	26.3	7.7	0	2019/07/25	Random
CRISPR02M.04	27.8	7.4	0	2019/07/25	Random
CRISPR02M.05	28.6	6.7	0	2019/07/25	Random
CRISPR02M.06	28	8	0	2019/07/25	Random
CRISPR02M.07	28.1	8	0	2019/07/25	Random
CRISPR02M.08	27.9	9.7	0	2019/07/25	Random
CRISPR02M.09	30.3	8.2	0	2019/07/25	Random
CRISPR02M.10	29.5	8.7	0	2019/07/25	Random
CRISPR02M.11	27.4	8	0	2019/07/25	Random
CRISPR02M.12	30.3	9.8	0	2019/07/25	Random
CRISPR02M.13	25.5	6.8	0	2019/07/25	Random
CRISPR02M.14	28.1	7.5	0	2019/07/25	Random
CRISPR02M.15	27.4	8.7	0	2019/07/25	Random
CRISPR02M.16	28.1	7.6	0	2019/07/25	Random
CRISPR02M.17	30	7.8	0	2019/07/25	Random
CRISPR02M.18	26.9	8.9	0	2019/07/25	Random
CRISPR02M.19	28.5	8.4	0	2019/07/25	Random
CRISPR02M.20	30.1	8.3	0	2019/07/25	Random
CRISPR02M.21	29.2	8.7	0	2019/07/25	Random
CRISPR02M.22	28.6	7.8	0	2019/07/25	Random
CRISPR02M.23	26.5	7.7	0	2019/07/25	Random
CRISPR02M.24	27.1	9.3	0	2019/07/25	Random
CRISPR02M.25	27.8	8	0	2019/07/25	Random
CRISPR02M.26	27.4	9.2	0	2019/07/25	Random
CRISPR02M.27	28.5	9.2	0	2019/07/25	Random
CRISPR02M.28	22.3	8.4	0	2019/07/25	Random
CRISPR02M.29	28.3	8.7	0	2019/07/25	Random
CRISPR02M.30	27.4	8.7	0	2019/07/25	Random
CRISPR02M.31	29.5	8	0	2019/07/25	Random
CRISPR02M.32	30.2	8.5	0	2019/07/25	Random
CRISPR02M.33	29.8	7.8	0	2019/07/25	Random
CRISPR02M.34	30.3	9.5	0	2019/07/25	Random
CRISPR02M.35	28.6	7.7	0	2019/07/25	Random
CRISPR02M.01	28.5	6.9	0	2019/08/07	Random
CRISPR02M.02	27.1	7.7	0	2019/08/07	Random
CRISPR02M.03	27.3	8.8	0	2019/08/07	Random
CRISPR02M.04	28.1	8.2	0	2019/08/07	Random
CRISPR02M.05	29.1	7.8	0	2019/08/07	Random
CRISPR02M.06	30.2	8.4	0	2019/08/07	Random
CRISPR02M.07	28.5	8.3	0	2019/08/07	Random
CRISPR02M.08	28.5	8.9	0	2019/08/07	Random
CRISPR02M.09	31.5	8.3	0	2019/08/07	Random
CRISPR02M.10	30	10.1	0	2019/08/07	Random
CRISPR02M.11	28	8.5	0	2019/08/07	Random
CRISPR02M.12	31.7	9.4	0	2019/08/07	Random
CRISPR02M.13	26.8	7.7	0	2019/08/07	Random
CRISPR02M.14	28.6	9.2	0	2019/08/07	Random
CRISPR02M.15	28.4	8.7	0	2019/08/07	Random
CRISPR02M.16	24.9	8.4	0	2019/08/07	Random
CRISPR02M.17	26.8	7.2	0	2019/08/07	Random
CRISPR02M.18	25.2	6.4	0	2019/08/07	Random
CRISPR02M.19	26.3	7.8	0	2019/08/07	Random
CRISPR02M.20	27.7	8.4	0	2019/08/07	Random
CRISPR02M.21	30.8	9.8	0	2019/08/07	Random
CRISPR02M.22	29.8	7.6	0	2019/08/07	Random
CRISPR02M.23	26.6	9.3	0	2019/08/07	Random
CRISPR02M.24	29.2	9.3	0	2019/08/07	Random
CRISPR02M.25	29	8.5	0	2019/08/07	Random
CRISPR02M.26	28.3	9.2	0	2019/08/07	Random
CRISPR02M.27	30	10	0	2019/08/07	Random
CRISPR02M.28	23.4	7.4	0	2019/08/07	Random
CRISPR02M.29	29.6	10.7	0	2019/08/07	Random
CRISPR02M.30	29.3	8.7	0	2019/08/07	Random
CRISPR02M.31	29.6	8.1	0	2019/08/07	Random
CRISPR02M.32	32.1	9.7	0	2019/08/07	Random
CRISPR02M.33	31	7.8	0	2019/08/07	Random
CRISPR02M.34	31.4	10.4	0	2019/08/07	Random
CRISPR02M.35	30	8.6	0	2019/08/07	Random
CRISPR02M.01	28.8	9.2	0	2019/08/14	Random
CRISPR02M.02	27.1	7.3	0	2019/08/14	Random
CRISPR02M.03	27.8	8.8	0	2019/08/14	Random
CRISPR02M.04	28	8	0	2019/08/14	Random
