AnimalID	InjDay	Group	CP
ACEM.01	-10	HLA-A2-	515.5108694
ACEM.02	-10	HLA-A2-	371.4378042
ACEM.03	-10	HLA-A2-	387.1207942
ACEM.04	-10	HLA-A2+	211.5420401
ACEM.05	-10	HLA-A2+	462.971083
ACEM.06	-10	HLA-A2+	507.6534946
ACEM.01	-7	HLA-A2-	261.611488142262
ACEM.02	-7	HLA-A2-	440.73698130841
ACEM.03	-7	HLA-A2-	525.427925633426
ACEM.04	-7	HLA-A2+	377.993999477787
ACEM.05	-7	HLA-A2+	266
ACEM.06	-7	HLA-A2+	514
ACEM.01	0	HLA-A2-	402.08360569538
ACEM.02	0	HLA-A2-	345.197547972923
ACEM.03	0	HLA-A2-	554.924872184265
ACEM.04	0	HLA-A2+	360.340757468198
ACEM.05	0	HLA-A2+	352.766650548775
ACEM.06	0	HLA-A2+	516.576206509605
ACEM.01	3	HLA-A2-	345.197547972923
ACEM.02	3	HLA-A2-	333
ACEM.03	3	HLA-A2-	356.553084678637
ACEM.04	3	HLA-A2+	206.606647850403
ACEM.05	3	HLA-A2+	209.952143296145
ACEM.06	3	HLA-A2+	158.004465949527
ACEM.01	6	HLA-A2-	291.256513896375
ACEM.02	6	HLA-A2-	190.796049230432
ACEM.03	6	HLA-A2-	354.635362459068
ACEM.04	6	HLA-A2+	89.1302243294886
ACEM.05	6	HLA-A2+	27.4293611872339
ACEM.06	6	HLA-A2+	18.2465178278257
